,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
0,Al1.8CoCrCuFe,FCC + BCC,557.0,0.4296406807463287,0.4861489155666975,0.5545977011494253,0.06592770142380082,0.3437975383764349,0.10938891623152884,0.38924082781841407,0.5991580278058638,0.4157463187625197,0.6518240215076488,0.443729805494335,0.5715109937482449,0.15391185696277762,0.43885206543401956,0.7805423032791841,0.24561598147236463,0.44884523380188285,0.16790354171533298,0.26014749588357017,0.004124069001038302,0.6272851296043656,0.2795847750865052
1,AlCoCrCuFeNi,FCC + BCC,439.0,0.35293696451505213,0.7066950526114236,0.699074074074074,0.12378743618186919,0.42738825120238483,0.17079860763914542,0.5082772166105499,0.48913660907300727,0.5163510879865542,0.5079455106031464,0.5359087015391418,0.4161901899314428,0.10639668186619265,0.42221302736592486,0.8523058960887331,0.29787519270728596,0.392830983775829,0.20114643043251684,0.24539436286261324,0.007433684973373754,0.6736698499317871,0.20553633217993075
2,Al22.5Cu20Fe15Ni20Ti22.5,FCC,516.0,0.4857140275425746,0.5107673604249606,0.5798611111111112,0.6326993498869873,0.33225003457336477,0.11987266158588285,0.3870738636363637,0.6386419960158363,0.35589095102719515,0.6816788468042619,0.38247810108043895,0.5155961021050981,0.16531416647345235,0.34566421998108277,0.707092819614711,0.540378041423688,0.5332867530585598,0.21511203751954155,0.3503741225026561,0.0005717329547407943,0.2586630286493861,0.4795847750865052
3,Co1.5CrFeNi1.5Ti,FCC + Im,654.0,0.4228616811532627,0.5000000000000002,0.6875,0.6210231815501405,0.45397132715622557,0.2976062638848432,0.6098134118967452,0.3418353141067889,0.6070911334012766,0.3438572824521655,0.6138329326590954,0.2443886479000166,0.06556405698534147,0.22406826491783843,0.7880910683012258,0.7074870969904149,0.4942746225992361,0.2840020844189683,0.09881794962892328,0.0018415239959500985,0.40873124147339696,0.3847750865051903
4,NbTaTiVW,BCC+HCP,447.0,0.23592302393830467,0.5208099393420963,0.3055555555555556,0.11321344147103203,0.7546213064122067,0.7908306777325154,0.6238425925925927,0.9650552910982033,0.6274741189722685,0.9642579959857862,0.7270164967255246,0.6192247089836096,0.05893036556148083,0.3352433978229197,0.24693520140105094,0.45405188015282527,0.20536111199490886,0.8120896300156333,0.5840173307919971,0.01928227651625372,0.7260572987721692,0.15501730103806224
5,CoFeMoNi1.6V,FCC + Im,520.0,0.23696990257452868,0.49944223865238874,0.7023809523809524,0.7252831171487023,0.5211095086630975,0.3935813129340131,0.8004599567099566,0.4080921957040592,0.7462184197822238,0.4667672432020348,0.7428579323630308,0.271212887048618,0.034088525277952586,0.11720296400449902,0.7668251188391295,0.2917181350722473,0.3531687795277584,0.4028884091416663,0.46674053538699606,0.004565219064520592,0.5768076398362892,0.3813148788927336
6,AlCrCuFeNi,FCC + BCC,418.5,0.37648195662500084,0.5208099393420963,0.6666666666666666,0.11089171939488461,0.4005900520905362,0.1557624001704221,0.465172558922559,0.5347884887794255,0.4799656707611437,0.5552975216968683,0.4984387521069941,0.45169738189465664,0.12137723162531884,0.42080543350840677,0.8283712784588451,0.23430524834104158,0.40579408872383355,0.1855132881709224,0.25230076265708373,0.007024102975044149,0.684856753069577,0.2200692041522491
7,Al1.125CuFe0.75NiTi1.125,FCC,516.0,0.4857140275425746,0.5107673604249606,0.5798611111111112,0.6326993498869873,0.33225003457336477,0.11987266158588285,0.3870738636363637,0.6386419960158363,0.35589095102719515,0.6816788468042619,0.38247810108043895,0.5155961021050981,0.16531416647345235,0.34566421998108277,0.707092819614711,0.540378041423688,0.5332867530585598,0.21511203751954155,0.3503741225026561,0.0005717329547407943,0.2586630286493861,0.4795847750865052
8,AlCoCrFeMo0.5Ni0.5,BCC + Im,708.0,0.39808969402097194,0.6621489498643813,0.5555555555555557,0.40374978151970087,0.4107315723966258,0.2637848506849493,0.6030092592592594,0.6110566250734435,0.6214396824545404,0.6024753179020954,0.6063721020199508,0.5308013483029316,0.09865522837931834,0.5036192371483975,0.7530647985989498,0.31377438166096927,0.4397681279157548,0.2726420010422096,0.5231350665182067,0.0032750422355363076,0.5175989085948158,0.3674740484429066
9,Al1.5CoCrFeNi,BCC,467.7,0.430771024726993,0.5052402433229455,0.5580808080808081,0.13903051576206815,0.36190140933606574,0.16327627167478143,0.49738865932047754,0.5685396143665331,0.5138316599454829,0.5752975564688907,0.5136518128311215,0.5270916607072738,0.12890907685714084,0.4832621792409573,0.801623945231651,0.3034934098678317,0.4689638662576747,0.20919986735515655,0.24268889115149478,0.0015633592794953948,0.42892223738062757,0.3134948096885813
